Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,08/05/2024,19/08/2024,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,7808,0,0.44
P011,Shopping Mall Renovation Project 011,Renovation,Florida,08/05/2024,01/08/2024,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,1776,0,0.02
P012,University Dormitory Construction Project 012,Construction,Georgia,27/01/2024,29/02/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,1815,1679,1
P012,University Dormitory Construction Project 012,Construction,Ohio,27/01/2024,29/02/2024,Completed,High,T002,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,8915,8464,1
P012,University Dormitory Construction Project 012,Construction,New York,27/01/2024,27/06/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,9242,0,0.98
P013,Sports Stadium Upgrade Project 013,Other,Florida,09/02/2024,24/08/2024,On Hold,Medium,T001,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,9559,9379,1
P013,Sports Stadium Upgrade Project 013,Other,Michigan,09/02/2024,06/07/2024,On Hold,Medium,T002,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,4795,0,0.28
P013,Sports Stadium Upgrade Project 013,Other,California,09/02/2024,28/07/2024,On Hold,Medium,T003,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,5258,0,0.55
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,20/12/2024,Behind,Low,T001,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,8531,0,0.1
P014,Public Library Renovation Project 014,Renovation,Ohio,30/07/2024,30/01/2025,Behind,Low,T002,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,3564,0,0.82
P014,Public Library Renovation Project 014,Renovation,New Jersey,30/07/2024,29/12/2024,Behind,Medium,T003,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,6213,0,0.22
P015,Building a Park Project 015,Other,Georgia,17/03/2024,19/04/2024,On Hold,High,T001,Task 001 of Building a Park Project 015,Completed,Ivy,8,4714,4608,1
P015,Building a Park Project 015,Other,New Jersey,17/03/2024,19/04/2024,On Hold,Medium,T002,Task 002 of Building a Park Project 015,Completed,Charlie,4,1026,528,1
P015,Building a Park Project 015,Other,North Carolina,17/03/2024,19/04/2024,On Hold,High,T003,Task 003 of Building a Park Project 015,Completed,Bob,22,5365,5232,1
P016,Renovation of a School Project 016,Renovation,Georgia,18/02/2024,25/09/2024,Completed,Medium,T001,Task 001 of Renovation of a School Project 016,Completed,Bob,5,3688,3610,1
P016,Renovation of a School Project 016,Renovation,Texas,18/02/2024,22/10/2024,Completed,High,T002,Task 002 of Renovation of a School Project 016,Pending,Eve,27,3233,0,0.38
P016,Renovation of a School Project 016,Renovation,Florida,18/02/2024,15/09/2024,Completed,Medium,T003,Task 003 of Renovation of a School Project 016,Pending,Eve,25,8366,0,0.55
P017,Innovation of a Classroom Project 017,Innovation,Virginia,02/04/2024,25/10/2024,On Track,Low,T001,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,1856,0,0.87
P017,Innovation of a Classroom Project 017,Innovation,Illinois,02/04/2024,23/09/2024,On Track,High,T002,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,5620,5481,1
P017,Innovation of a Classroom Project 017,Innovation,Georgia,02/04/2024,14/10/2024,On Track,High,T003,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,1904,0,0.62
P018,Construction of a Hospital Wing Project 018,Construction,Ohio,09/02/2024,05/03/2024,Behind,Medium,T001,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,5908,0,0.66
P018,Construction of a Hospital Wing Project 018,Construction,North Carolina,09/02/2024,01/03/2024,Behind,Medium,T002,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,2176,0,0.54
P018,Construction of a Hospital Wing Project 018,Construction,Pennsylvania,09/02/2024,25/02/2024,Behind,Medium,T003,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,9002,0,0.2
P019,Road Expansion Project 019,Infrastructure,Texas,10/06/2024,30/12/2024,Behind,High,T001,Task 001 of Road Expansion Project 019,Pending,Grace,11,6821,0,0.61
P019,Road Expansion Project 019,Infrastructure,Ohio,10/06/2024,25/09/2024,Behind,Medium,T002,Task 002 of Road Expansion Project 019,Completed,Ivy,1,7324,7263,1
P019,Road Expansion Project 019,Infrastructure,Georgia,10/06/2024,24/12/2024,Behind,Medium,T003,Task 003 of Road Expansion Project 019,Pending,Charlie,13,3099,0,0.46
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10/04/2024,03/07/2024,Completed,Medium,T001,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,7962,7526,1
P020,Bridge Maintenance Project 020,Maintenance,California,10/04/2024,02/08/2024,Completed,High,T002,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,7221,0,0.84
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10/04/2024,02/07/2024,Completed,High,T003,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,7256,0,0.11
P021,Office Building Renovation Project 021,Renovation,North Carolina,21/03/2024,15/12/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,8483,0,0.43
P021,Office Building Renovation Project 021,Renovation,Michigan,21/03/2024,25/09/2024,Behind,High,T002,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,2463,2091,1
P021,Office Building Renovation Project 021,Renovation,Georgia,21/03/2024,20/09/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,8372,7940,1
P022,Apartment Complex Development Project 022,Other,Michigan,09/01/2024,11/04/2024,On Track,High,T001,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,8903,0,0.68
P022,Apartment Complex Development Project 022,Other,California,09/01/2024,28/04/2024,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,1255,0,0.28
P022,Apartment Complex Development Project 022,Other,Virginia,09/01/2024,24/04/2024,On Track,High,T003,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,1424,2183,0.77
P023,Commercial Center Construction Project 023,Construction,Virginia,04/01/2024,18/05/2024,Behind,High,T001,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,3662,0,0.45
P023,Commercial Center Construction Project 023,Construction,North Carolina,04/01/2024,01/06/2024,Behind,Medium,T002,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,2437,0,0.02
P023,Commercial Center Construction Project 023,Construction,Illinois,04/01/2024,10/04/2024,Behind,Low,T003,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,7519,0,0.45
P024,Highway Reconstruction Project 024,Other,Illinois,16/08/2024,29/08/2024,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,5955,0,0.05
P024,Highway Reconstruction Project 024,Other,Florida,16/08/2024,04/09/2024,Completed,Low,T002,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,1799,0,0.75
P024,Highway Reconstruction Project 024,Other,Michigan,16/08/2024,01/09/2024,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,8925,8659,1
P025,Airport Expansion Project 025,Other,Washington,05/05/2024,20/07/2024,On Hold,High,T001,Task 001 of Airport Expansion Project 025,Completed,Alice,37,8938,8487,1
P025,Airport Expansion Project 025,Other,New Jersey,05/05/2024,17/07/2024,On Hold,Low,T002,Task 002 of Airport Expansion Project 025,In Progress,David,10,8533,0,0.72
P025,Airport Expansion Project 025,Other,New York,05/05/2024,03/07/2024,On Hold,Medium,T003,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,8402,0,0.5
P026,Shopping Mall Renovation Project 026,Renovation,Pennsylvania,08/07/2024,30/04/2025,On Hold,Low,T001,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,6524,0,0.1
P026,Shopping Mall Renovation Project 026,Renovation,Illinois,08/07/2024,10/08/2024,On Hold,Medium,T002,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,8061,8002,1
P026,Shopping Mall Renovation Project 026,Renovation,Georgia,08/07/2024,06/04/2025,On Hold,High,T003,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,2436,0,0.82
P027,University Dormitory Construction Project 027,Construction,Michigan,03/01/2024,28/12/2024,Completed,High,T001,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,9670,0,0.84
P027,University Dormitory Construction Project 027,Construction,Washington,03/01/2024,22/03/2025,Completed,Low,T002,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,1646,4190,1
P027,University Dormitory Construction Project 027,Construction,Ohio,03/01/2024,19/01/2025,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,3853,0,0.19
P028,Sports Stadium Upgrade Project 028,Other,California,25/07/2024,19/01/2025,Behind,Medium,T001,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,5266,0,0.31
P028,Sports Stadium Upgrade Project 028,Other,California,25/07/2024,28/05/2025,Behind,Medium,T002,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,4878,0,0.78
P028,Sports Stadium Upgrade Project 028,Other,New York,25/07/2024,16/01/2025,Behind,Low,T003,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,4589,0,0.98
P029,Public Library Renovation Project 029,Renovation,North Carolina,10/04/2024,13/05/2024,On Track,Low,T001,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,3498,3235,1
P029,Public Library Renovation Project 029,Renovation,Michigan,10/04/2024,21/12/2024,On Track,High,T002,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,7342,0,0.15
P029,Public Library Renovation Project 029,Renovation,Virginia,10/04/2024,23/01/2025,On Track,High,T003,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,3172,0,0.4
P030,Building a Park Project 030,Other,Washington,16/07/2024,29/07/2024,On Track,High,T001,Task 001 of Building a Park Project 030,Pending,Ivy,33,8742,0,0.79
P030,Building a Park Project 030,Other,Pennsylvania,16/07/2024,29/07/2024,On Track,High,T002,Task 002 of Building a Park Project 030,Pending,Charlie,1,4274,0,0.28
P030,Building a Park Project 030,Other,New York,16/07/2024,29/07/2024,On Track,High,T003,Task 003 of Building a Park Project 030,In Progress,Bob,16,3338,0,0.07
P031,Renovation of a School Project 031,Renovation,Illinois,19/03/2024,09/06/2024,On Track,High,T001,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,3147,0,0.45
P031,Renovation of a School Project 031,Renovation,Georgia,19/03/2024,06/06/2024,On Track,High,T002,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,8355,0,0.79
P031,Renovation of a School Project 031,Renovation,Georgia,19/03/2024,03/06/2024,On Track,Medium,T003,Task 003 of Renovation of a School Project 031,Completed,Eve,5,4000,3595,1
P032,Innovation of a Classroom Project 032,Innovation,New Jersey,02/05/2024,26/02/2025,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,4133,0,0.54
P032,Innovation of a Classroom Project 032,Innovation,New York,02/05/2024,16/04/2025,On Hold,Medium,T002,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,8258,0,0.39
P032,Innovation of a Classroom Project 032,Innovation,Washington,02/05/2024,24/03/2025,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,3654,0,0.79
P033,Construction of a Hospital Wing Project 033,Construction,California,15/05/2024,25/09/2024,Behind,Low,T001,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,4561,4256,1
P033,Construction of a Hospital Wing Project 033,Construction,Texas,15/05/2024,18/10/2024,Behind,High,T002,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,9743,0,0.71
P033,Construction of a Hospital Wing Project 033,Construction,New Jersey,15/05/2024,23/09/2024,Behind,High,T003,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,7316,7140,1
P034,Road Expansion Project 034,Infrastructure,Florida,13/06/2024,01/09/2024,Behind,High,T001,Task 001 of Road Expansion Project 034,Pending,Grace,14,2342,0,0.47
P034,Road Expansion Project 034,Infrastructure,Ohio,13/06/2024,17/08/2024,Behind,High,T002,Task 002 of Road Expansion Project 034,Completed,Ivy,22,5899,5436,1
P034,Road Expansion Project 034,Infrastructure,Pennsylvania,13/06/2024,21/08/2024,Behind,High,T003,Task 003 of Road Expansion Project 034,In Progress,Charlie,32,8314,0,0.68
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,28/06/2024,31/07/2024,On Hold,Medium,T001,Task 001 of Bridge Maintenance Project 035,Completed,Eve,14,7361,7026,1
P035,Bridge Maintenance Project 035,Maintenance,Virginia,28/06/2024,31/07/2024,On Hold,Low,T002,Task 002 of Bridge Maintenance Project 035,Completed,Grace,11,6901,6528,1
P035,Bridge Maintenance Project 035,Maintenance,New Jersey,28/06/2024,26/04/2025,On Hold,High,T003,Task 003 of Bridge Maintenance Project 035,Pending,David,40,5183,0,0.29
P036,Office Building Renovation Project 036,Renovation,Michigan,26/03/2024,10/07/2024,Behind,High,T001,Task 001 of Office Building Renovation Project 036,In Progress,Alice,8,1220,0,0.79
P036,Office Building Renovation Project 036,Renovation,Georgia,26/03/2024,29/07/2024,Behind,Medium,T002,Task 002 of Office Building Renovation Project 036,Pending,Frank,16,6005,0,0.64
P036,Office Building Renovation Project 036,Renovation,California,26/03/2024,28/06/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 036,Completed,Ivy,32,3891,3841,1
P037,Apartment Complex Development Project 037,Other,Virginia,16/01/2024,31/07/2024,Behind,Medium,T001,Task 001 of Apartment Complex Development Project 037,In Progress,Ivy,12,9160,0,0.09
P037,Apartment Complex Development Project 037,Other,Pennsylvania,16/01/2024,25/05/2024,Behind,High,T002,Task 002 of Apartment Complex Development Project 037,Completed,Grace,15,1719,1494,1
P037,Apartment Complex Development Project 037,Other,Illinois,16/01/2024,13/06/2024,Behind,High,T003,Task 003 of Apartment Complex Development Project 037,Pending,Ivy,2,5180,0,0.33
P038,Commercial Center Construction Project 038,Construction,Texas,15/01/2024,01/03/2024,Behind,Medium,T001,Task 001 of Commercial Center Construction Project 038,Pending,Alice,14,8804,0,0.93
P038,Commercial Center Construction Project 038,Construction,Michigan,15/01/2024,19/03/2024,Behind,Low,T002,Task 002 of Commercial Center Construction Project 038,Completed,Charlie,38,8552,8463,1
P038,Commercial Center Construction Project 038,Construction,Michigan,15/01/2024,04/03/2024,Behind,High,T003,Task 003 of Commercial Center Construction Project 038,In Progress,Charlie,32,6348,0,0.21
P039,Highway Reconstruction Project 039,Other,Virginia,25/01/2024,23/03/2024,Completed,High,T001,Task 001 of Highway Reconstruction Project 039,Completed,Charlie,39,5312,4818,1
P039,Highway Reconstruction Project 039,Other,Virginia,25/01/2024,31/03/2024,Completed,High,T002,Task 002 of Highway Reconstruction Project 039,Pending,Ivy,2,9232,0,0.24
P039,Highway Reconstruction Project 039,Other,Michigan,25/01/2024,03/04/2024,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 039,Completed,Eve,6,3291,2824,1
P040,Airport Expansion Project 040,Other,Florida,26/01/2024,25/09/2024,Behind,Medium,T001,Task 001 of Airport Expansion Project 040,Pending,David,21,4414,0,0.24
P040,Airport Expansion Project 040,Other,Virginia,26/01/2024,29/07/2024,Behind,Medium,T002,Task 002 of Airport Expansion Project 040,In Progress,David,21,9998,0,0.29
P040,Airport Expansion Project 040,Other,Michigan,26/01/2024,14/08/2024,Behind,High,T003,Task 003 of Airport Expansion Project 040,Pending,Charlie,21,4869,0,0.54
P041,Shopping Mall Renovation Project 041,Renovation,Pennsylvania,17/03/2024,21/03/2024,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 041,Completed,Eve,32,3746,3514,1
P041,Shopping Mall Renovation Project 041,Renovation,Florida,17/03/2024,21/03/2024,Completed,Medium,T002,Task 002 of Shopping Mall Renovation Project 041,Pending,Eve,30,5413,0,0.93
P041,Shopping Mall Renovation Project 041,Renovation,Georgia,17/03/2024,21/03/2024,Completed,Medium,T003,Task 003 of Shopping Mall Renovation Project 041,In Progress,Alice,28,6416,0,0.8
P042,University Dormitory Construction Project 042,Construction,North Carolina,31/01/2024,29/05/2024,Behind,High,T001,Task 001 of University Dormitory Construction Project 042,In Progress,Frank,32,5512,0,0.05
P042,University Dormitory Construction Project 042,Construction,California,31/01/2024,30/07/2024,Behind,High,T002,Task 002 of University Dormitory Construction Project 042,Pending,Bob,7,6632,0,0.36
P042,University Dormitory Construction Project 042,Construction,New Jersey,31/01/2024,02/08/2024,Behind,Medium,T003,Task 003 of University Dormitory Construction Project 042,Pending,Alice,29,3321,0,0.66
P043,Sports Stadium Upgrade Project 043,Other,California,05/01/2024,02/06/2024,On Track,High,T001,Task 001 of Sports Stadium Upgrade Project 043,In Progress,Alice,35,9960,0,0.28
P043,Sports Stadium Upgrade Project 043,Other,Virginia,05/01/2024,12/05/2024,On Track,High,T002,Task 002 of Sports Stadium Upgrade Project 043,Completed,Bob,6,7019,6569,1
P043,Sports Stadium Upgrade Project 043,Other,North Carolina,05/01/2024,23/06/2024,On Track,High,T003,Task 003 of Sports Stadium Upgrade Project 043,Completed,David,19,2549,2168,1
P044,Public Library Renovation Project 044,Renovation,Georgia,05/04/2024,30/07/2024,Behind,High,T001,Task 001 of Public Library Renovation Project 044,Pending,Grace,34,4587,0,0.54
P044,Public Library Renovation Project 044,Renovation,New Jersey,05/04/2024,18/09/2024,Behind,Low,T002,Task 002 of Public Library Renovation Project 044,Completed,Charlie,8,4629,4482,1
P044,Public Library Renovation Project 044,Renovation,Washington,05/04/2024,14/09/2024,Behind,High,T003,Task 003 of Public Library Renovation Project 044,In Progress,Charlie,30,4113,0,0.06
P045,Building a Park Project 045,Other,Ohio,11/06/2024,14/07/2024,Completed,Medium,T001,Task 001 of Building a Park Project 045,Completed,Ivy,25,3423,3361,1
P045,Building a Park Project 045,Other,Texas,11/06/2024,25/02/2025,Completed,High,T002,Task 002 of Building a Park Project 045,In Progress,Charlie,39,2297,0,0.55
P045,Building a Park Project 045,Other,Virginia,11/06/2024,14/07/2024,Completed,Low,T003,Task 003 of Building a Park Project 045,Completed,Bob,39,2868,2425,1
P046,Renovation of a School Project 046,Renovation,California,13/06/2024,16/06/2024,Completed,High,T001,Task 001 of Renovation of a School Project 046,In Progress,Bob,39,1771,0,0.51
P046,Renovation of a School Project 046,Renovation,North Carolina,13/06/2024,16/06/2024,Completed,Medium,T002,Task 002 of Renovation of a School Project 046,Pending,Eve,25,1781,0,0.43
P046,Renovation of a School Project 046,Renovation,Florida,13/06/2024,18/06/2024,Completed,High,T003,Task 003 of Renovation of a School Project 046,In Progress,Eve,11,7012,0,0.18
P047,Innovation of a Classroom Project 047,Innovation,Florida,27/06/2024,30/07/2024,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 047,Completed,Eve,36,2554,2262,1
P047,Innovation of a Classroom Project 047,Innovation,Illinois,27/06/2024,09/01/2025,On Hold,High,T002,Task 002 of Innovation of a Classroom Project 047,In Progress,Charlie,24,8357,0,0.68
P047,Innovation of a Classroom Project 047,Innovation,Pennsylvania,27/06/2024,25/09/2024,On Hold,High,T003,Task 003 of Innovation of a Classroom Project 047,Completed,David,18,9034,8655,1
P048,Construction of a Hospital Wing Project 048,Construction,Florida,09/06/2024,15/12/2024,Completed,High,T001,Task 001 of Construction of a Hospital Wing Project 048,In Progress,David,35,5180,0,0.49
P048,Construction of a Hospital Wing Project 048,Construction,Virginia,09/06/2024,31/10/2024,Completed,Low,T002,Task 002 of Construction of a Hospital Wing Project 048,Pending,Grace,14,5368,0,0.96
P048,Construction of a Hospital Wing Project 048,Construction,Florida,09/06/2024,02/11/2024,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 048,In Progress,David,4,3812,0,0.97
P049,Road Expansion Project 049,Infrastructure,Pennsylvania,02/07/2024,11/08/2024,Completed,Medium,T001,Task 001 of Road Expansion Project 049,Completed,Grace,20,2237,2196,1
P049,Road Expansion Project 049,Infrastructure,Texas,02/07/2024,13/08/2024,Completed,Low,T002,Task 002 of Road Expansion Project 049,Pending,Ivy,35,8742,0,0.44
P049,Road Expansion Project 049,Infrastructure,New York,02/07/2024,23/08/2024,Completed,Medium,T003,Task 003 of Road Expansion Project 049,Pending,Charlie,8,2613,0,0.76
P050,Bridge Maintenance Project 050,Maintenance,Illinois,12/06/2024,22/07/2024,On Track,High,T001,Task 001 of Bridge Maintenance Project 050,In Progress,Eve,38,9467,0,0.71
P050,Bridge Maintenance Project 050,Maintenance,Virginia,12/06/2024,25/07/2024,On Track,High,T002,Task 002 of Bridge Maintenance Project 050,Completed,Grace,40,1380,1005,1
P050,Bridge Maintenance Project 050,Maintenance,Pennsylvania,12/06/2024,31/07/2024,On Track,High,T003,Task 003 of Bridge Maintenance Project 050,In Progress,David,18,1169,0,0.09
P051,Office Building Renovation Project 051,Renovation,Ohio,23/03/2024,12/12/2024,Behind,Low,T001,Task 001 of Office Building Renovation Project 051,Pending,Alice,19,7063,0,0.03
P051,Office Building Renovation Project 051,Renovation,Virginia,23/03/2024,25/09/2024,Behind,High,T002,Task 002 of Office Building Renovation Project 051,Completed,Frank,27,3221,3074,1
P051,Office Building Renovation Project 051,Renovation,Florida,23/03/2024,21/10/2024,Behind,High,T003,Task 003 of Office Building Renovation Project 051,In Progress,Ivy,12,1201,0,0.41
P052,Apartment Complex Development Project 052,Other,Virginia,27/05/2024,27/07/2025,On Hold,Low,T001,Task 001 of Apartment Complex Development Project 052,In Progress,Ivy,19,8114,9104,0.88
P052,Apartment Complex Development Project 052,Other,Ohio,27/05/2024,11/06/2025,On Hold,Low,T002,Task 002 of Apartment Complex Development Project 052,Pending,Grace,14,7222,0,0.19
